university,career,insription_date,first_name,last_name,gender,age,postal_code,location,email
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-01,KIM,GARZA,F,-6.0,[5753],AGUA LINDA,LWILSON@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-02,SHARON,MALDONADO,F,-46.0,[7637],LA DULCE,XCALDERON@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-04,STACEY,MEYER,F,42.0,[7621],LA SARA,GANTHONY@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-07,JOSEPH,MEADOWS,M,-9.0,[1882],EZPELETA ESTE,SARA20@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-12,TINA,HILL,F,-9.0,[1814],BARRIO 1 DE MAYO,WILLIAMSONWILLIAM@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-18,DAVID,MICHAEL,M,-37.0,[7407],LIBANO,FOSTERJAMES@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-18,JACQUELINE,LYNCH,F,-31.0,[2177],BIGAND,KEITH17@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-21,ELIZABETH,NAVARRO,F,43.0,[3231],COLONIA AROCENA INA,DWEST@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-23,MICHAEL,ORTEGA,M,-9.0,[1605],CARAPACHAY,WRIGHTLISA@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-24,LEE,REED,M,-35.0,[1919],BASE AERONAVAL PUNTA INDIO,FRANK33@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-27,MELISSA,WARD,F,-12.0,[3164],COLONIA RIVAS,WHITAKERKATHERINE@HOTMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-28,BRIAN,ROJAS,M,50.0,[8203],LA CHIRLANDIA,SHARONMCCARTY@YAHOO.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-09-30,JENNIFER,ZUNIGA,F,36.0,"[3000, 5474]",BARRANQUITAS,VINCENTLAURA@GMAIL.COM
UNIVERSIDAD_DEL_SALVADOR,ACTUARIO_,2020-10-01,DAVID,BROWN,M,27.0,[6032],BLANDENGUES,CARTERKEITH@HOTMAIL.COM
